university;country;countries_corrected;continent;latitud;longitud
3IE - USM;Chile;Chile;Americas;-33.4504;-70.6565
Brown;United States;United States;Americas;41.8262;-71.4032
Carlos III;Spain;Spain;Europe;40.3327;3.7682
Central Bank of Chile;Chile;Chile;Americas;-33.4418;-70.6541
Central Bank of Colombia;Colombia;Chile;Americas;4.6368;-74.0825
Chicago;United States;United States;Americas;41.7897;-87.5997
Cornell;United States;United States;Americas;42.447;-76.4835
Development Bank of Latin America (CAF);United States;United States;Americas;10.488;-66.8792
Federal University of Paraná (UFPR);United States;United States;Americas;-25.4275;-49.2733
Free University of Bozen-Bolzano;Italy;Italy;Europe;46.4983;11.3543
George Mason University;United States;United States;Americas;38.8318;-77.311
Georgetown;United States;United States;Americas;38.9076;-77.0723
Georgia Institute of Technology (Georgia Tech);United States;United States;Americas;33.7756;-84.3963
Harvard;United States;United States;Americas;42.3736;-71.1097
IADB;United States;United States;Americas;38.9059;-77.0424
Insper;Brazil;Brazil;Americas;-23.5842;-46.6721
Instituto Tecnológico Autónomo de México (ITAM);Colombia;Colombia;Americas;19.36;-99.1836
Johns Hopkins University;Belgium;Belgium;Europe;39.3299;-76.6205
KU Leuven (Katholieke Universiteit Leuven);United Kingdom;United Kingdom;Europe;50.8798;4.7005
London Business School;United States;United States;Americas;51.5194;127
London School of Economics and Political Science (LSE);United Kingdom;United Kingdom;Europe;51.5142;0.1165
Los Andes (Colombia);Colombia;Colombia;Americas;-4.602;-74.065
Microsoft Corporation;United States;United States;Americas;47.6435;-122.1306
MIT;United States;United States;Americas;42.3601;-71.0942
Northwestern;United States;United States;Americas;42.0555;-87.6752
NYU Abu Dhabi;United States;UAE;Asia;24.4709;54.3735
Pennsylvania State University;United States;NA;Americas;40.7982;-77.8599
Pennsylvania State University (Penn State);United States;United States;Americas;40.7982;-77.8599
Pontificia Universidad Católica de Chile;Chile;Chile;Americas;-4.6021;-74.065
Pontificia Universidad Católica de Chile;Chile;Chile;Americas;-33.4542;-70.6342
Pontificia Universidad Católica de Chile;Chile;Chile;Americas;-33.4496;-70.6646
Queen Mary;United Kingdom;United Kingdom;Europe;51.5246;0.0399
Singapore Management University (SMU);Singapore;United States;Americas;1.2966;103.8522
Stanford;United States;United States;Americas;37.4275;-122.1697
Stockholm University;Sweden;Sweden;Europe;59.365;18.0697
Toulouse;France;France;Europe;43.5624;1.4683
University British Columbia;Canada;Canada;Americas;49.2606;-123.2458
UC Berkeley;United States;United States;Americas;37.8719;-122.2585
UC Santa Barbara;United States;United States;Americas;34.4133;-119.8489
Universidad Adolfo Ibáñez (UAI);Chile;Chile;Americas;-33.4458;-70.625
Universidad de Chile;Chile;Chile;Americas;-33.4542;-70.6342
Universidad de los Andes (Colombia);Colombia;NA;NA;-4.6021;-74.065
Universidad de los Andes Chile;Italy;Italy;Europe;-33.404;-70.5075
Universidad del Pacífico (Peru);Peru;Peru;Americas;-12.081;-77.0244
Universidad del Rosario (Colombia);Colombia;Colombia;Americas;-4.5981;-74.076
Universidad Diego Portales;Chile;Chile;Americas;-33.4394;-70.6505
Universidad EAFIT (Colombia);Colombia;Argentina;Americas;-6.2004;-75.5788
Universidad Torcuato Di Tella (Argentina);Singapore;Singapore;Asia;-34.5328;-58.5039
University of Brasília (UnB);Brazil;United States;Americas;-15.7644;-47.8681
University of California, San Diego (UC San Diego);United States;Brazil;Americas;32.8801;-117.234
University of California, Santa Cruz (UC Santa Cruz);United States;United States;Americas;36.9915;-122.0609
University of Illinois at Chicago (UIC);United States;Mexico;Americas;41.8696;-87.6496
University of Illinois at Urbana-Champaign (UIUC);United States;Colombia;Americas;40.102;-88.2272
University of Potsdam;Germany;Germany;Europe;52.3914;13.1287
University of São Paulo (USP);Brazil;Brazil;Americas;-23.5619;-46.73
University of Wisconsin-Madison;United States;United States;Americas;43.0761;-89.4125
UPenn-Wharton;United States;United States;Americas;39.9526;-75.1652
Vanderbilt;United States;United States;Americas;36.1447;-86.8027
Virginia;United States;United States;Americas;38.0356;-78.5031
Wilfrid Laurier;Canada;Canada;Americas;43.4723;-80.5449
World Bank;United States;United States;Americas;38.9072;-77.0369
